Sl,SKU,Barcode,Item Name,Category,Description,Cost,MRP,Competitor Price,LS Price,Initial Stock Qty,Tax Paid,Discount,Total Cost,Total Price,Total Profit,% Profit,Batch Code,Supplier,Expiry Date (YYYY-MM-DD),Image URL,Price URL,XPath
UNILIVER - ATLANTIC DISTRIBUTION ,,,,,,,,,,,,,,,,,,,,,,
14,,,Sunsilk Hairfall Solution 170ml,Personal Care,Shampoo 170ml,158.14,180.0,180.00 - 220.00,180.0,3,64.8,,474.42,540.00,66,13.82,BATCH-001,Unilever - Atlantic Distribition,,,,
15,,,Sunsilk Black Shine 170ml,Personal Care,Shampoo 170ml,158.14,180.0,,180.0,3,64.8,,474.42,540.00,66,13.82,BATCH-001,Unilever - Atlantic Distribition,,,,
16,,,Sunsilk Hijab Refresh 340ml,Personal Care,Shampoo 340ml,364.24,420.0,,415.0,2,99.6,,728.48,830.00,102,13.94,BATCH-001,Unilever - Atlantic Distribition,,,,
17,,,Sunsilk Shampoo Thick & Long 340ml,Personal Care,Shampoo 340ml,307.13,350.0,,345.0,2,82.8,,614.26,690.00,76,12.33,BATCH-001,Unilever - Atlantic Distribition,,,,
18,,,Sunsilk Shampoo Thick & Long 170ml,Personal Care,Shampoo 170ml,158.14,180.0,,175.0,3,63.0,,474.42,525.00,51,10.66,BATCH-001,Unilever - Atlantic Distribition,,,,
19,,,Sunsilk Shampoo Black Shine 80ml,Personal Care,Shampoo 80ml,79.3,90.0,,90.0,3,32.4,,237.90,270.00,32,13.49,BATCH-001,Unilever - Atlantic Distribition,,,,
20,,,Sunsilk Hairfall Solution 340ml,Personal Care,Shampoo 340ml,307.13,350.0,,350.0,2,84.0,,614.26,700.00,86,13.96,BATCH-001,Unilever - Atlantic Distribition,,,,
21,,,Sunsilk Shampoo Onion 375ml,Personal Care,Shampoo 375ml,364.27,420.0,420.00 - 495.00,410.0,2,98.4,,728.54,820.00,91,12.55,BATCH-001,Unilever - Atlantic Distribition,,,,
22,,,Sunsilk Conditioner Hair Fall Solution 180ml,Personal Care,Shampoo 180ml,176.21,200.0,,200.0,3,72.0,,528.63,600.00,71,13.50,BATCH-001,Unilever - Atlantic Distribition,,,,
23,,,Sunsilk Shampoo Volume 375ml,Personal Care,Shampoo 375ml,364.24,420.0,,415.0,2,99.6,,728.48,830.00,102,13.94,BATCH-001,Unilever - Atlantic Distribition,,,,
24,,,Clear Shampoo Complete Active Care 5.5ml,Personal Care,Shampoo 5.5ml,3.43,4.0,,4.0,36,17.3,7,116.98,144.00,27,23.10,BATCH-001,Unilever - Atlantic Distribition,,,,
25,,,Clear Shampoo Anti Hair Fall 330ml,Personal Care,Shampoo 330ml,347.49,400.0,,390.0,2,93.6,,694.98,780.00,85,12.23,BATCH-001,Unilever - Atlantic Distribition,,,,
26,,,Clear Shampoo Complete Active Care 170ml,Personal Care,Shampoo 170ml,207.5,240.0,,230.0,3,82.8,,622.50,690.00,68,10.84,BATCH-001,Unilever - Atlantic Distribition,,,,
27,,,Clear Shampoo Complete Active Care 330ml,Personal Care,Shampoo 330ml,347.4,400.0,400.00 - 460.00,390.0,2,93.6,,694.80,780.00,85,12.26,BATCH-001,Unilever - Atlantic Distribition,,,,
28,,,Clear Shampoo Cool Sport Menthol 5ml,Personal Care,Shampoo 5ml,4.29,5.0,,5.0,72,43.2,15,294.12,360.00,66,22.40,BATCH-001,Unilever - Atlantic Distribition,,,,
29,,,Clear Shampoo Cool Sport Menthol 170ml,Personal Care,Shampoo 170ml,230.49,270.0,,260.0,3,93.6,,691.47,780.00,89,12.80,BATCH-001,Unilever - Atlantic Distribition,,,,
30,,,Clear Shampoo Cool Sport Menthol 330ml,Personal Care,Shampoo 330ml,425.82,500.0,500.00 - 580.00,490.0,3,176.4,,1277.46,1470.00,193,15.07,BATCH-001,Unilever - Atlantic Distribition,,,,
31,,,Clear Shampoo Cool Sport Menthol 80ml,Personal Care,Shampoo 80ml,103,120.0,#REF!,115.0,3,41.4,,309.00,345.00,36,11.65,BATCH-001,Unilever - Atlantic Distribition,,,,
32,,,Dove Shampoo Intensive Repair 6ml,Personal Care,Shampoo 6ml,3.43,4.0,#REF!,4.0,36,17.3,,123.48,144.00,21,16.62,BATCH-001,Unilever - Atlantic Distribition,,,,
33,,,Dove Shampoo Hairfall Rescue 6ml,Personal Care,Shampoo 6ml,3.43,4.0,#REF!,4.0,36,17.3,,123.48,144.00,21,16.62,BATCH-001,Unilever - Atlantic Distribition,,,,
34,,,Dove Conditioner Intensive Repair 7ml,Personal Care,Conditioner 7ml,4.29,5.0,#REF!,5.0,36,21.6,,154.44,180.00,26,16.55,BATCH-001,Unilever - Atlantic Distribition,,,,
35,,,Dove Shampoo Hairfall Rescue 170ml,Personal Care,Shampoo 170ml,171.2,200.0,#REF!,195.0,2,46.8,,342.40,390.00,48,13.90,BATCH-001,Unilever - Atlantic Distribition,,,,
36,,,Dove Shampoo Intensive Repair 170ml,Personal Care,Shampoo 170ml,171.2,200.0,200.00 - 250.00,195.0,2,46.8,,342.40,390.00,48,13.90,BATCH-001,Unilever - Atlantic Distribition,,,,
37,,,Dove Shampoo Intensive Repair 330ml,Personal Care,Shampoo 330ml,376.33,440.0,440.00 - 520.00,430.0,2,103.2,,752.66,860.00,107,14.26,BATCH-001,Unilever - Atlantic Distribition,,,,
38,,,Dove Shampoo Nourishing Oil 170ml,Personal Care,Oil 170ml,171.2,200.0,#REF!,195.0,2,46.8,,342.40,390.00,48,13.90,BATCH-001,Unilever - Atlantic Distribition,,,,
39,,,Dove Conditioner Hairfall Rescue 170ml,Personal Care,Conditioner 170ml,232,290.0,#REF!,275.0,2,66.0,,464.00,550.00,86,18.53,BATCH-001,Unilever - Atlantic Distribition,,,,
40,,,Dove Shampoo Oxygen Moisture 330ml,Personal Care,Shampoo 330ml,376.33,440.0,#REF!,430.0,2,103.2,,752.66,860.00,107,14.26,BATCH-001,Unilever - Atlantic Distribition,,,,
41,,,Dove Conditioner Intensive Repair 50ml,Personal Care,free Item,1,24.0,#REF!,24.0,2,5.8,,2.00,48.00,46,2300.00,BATCH-001,Unilever - Atlantic Distribition,,,,
42,,,Dove Shampoo Intensive Repair 330ml,Personal Care,Shampoo 330ml,376.33,440.0,#REF!,420.0,2,100.8,,752.66,840.00,87,11.60,BATCH-001,Unilever - Atlantic Distribition,,,,
43,,,Tresemme Shampoo Color Revitalized 580ml,Personal Care,Shampoo 580ml,602.5,700.0,#REF!,680.0,1,81.6,,602.50,680.00,78,12.86,BATCH-001,Unilever - Atlantic Distribition,,,,
44,,,Tresemme Shampoo Keratin Smooth 340ml,Personal Care,Shampoo 340ml,458.1,550.0,550.00 - 680.00,530.0,1,63.6,,458.10,530.00,72,15.70,BATCH-001,Unilever - Atlantic Distribition,,,,
45,,,Tresemme Shampoo Keratin Smooth 185ml,Personal Care,Shampoo 185ml,298.58,350.0,#REF!,340.0,1,40.8,,298.58,340.00,41,13.87,BATCH-001,Unilever - Atlantic Distribition,,,,
46,,,Tresemme Keratin 190ml,Personal Care,Conditioner 190ml,256,320.0,#REF!,310.0,1,37.2,,256.00,310.00,54,21.09,BATCH-001,Unilever - Atlantic Distribition,,,,
47,,,Pond Oil Control 50g,Personal Care,Facewash 50g,75.02,100.0,#REF!,95.0,1,11.4,,75.02,95.00,20,26.63,BATCH-001,Unilever - Atlantic Distribition,,,,
48,,,Ponds White Beauty 50g,Personal Care,Facewash 50g,90.75,120.0,#REF!,110.0,1,13.2,,90.75,110.00,19,21.21,BATCH-001,Unilever - Atlantic Distribition,,,,
49,,,Ponds Pure White 100g,Personal Care,Facewash 100g,156.34,220.0,220.00 - 280.00,200.0,2,48.0,,312.68,400.00,87,27.93,BATCH-001,Unilever - Atlantic Distribition,,,,
50,,,Ponds White Beauty 100g,Personal Care,Facewash 100g,157,210.0,210.00 - 275.00,200.0,2,48.0,,314.00,400.00,86,27.39,BATCH-001,Unilever - Atlantic Distribition,,,,
51,,,Ponds Pure White 50g,Personal Care,Facewash 50g,94,125.0,#REF!,120.0,1,14.4,,94.00,120.00,26,27.66,BATCH-001,Unilever - Atlantic Distribition,,,,
52,,,Ponds Oil Control 100g,Personal Care,Facewash 100g,157,210.0,#REF!,200.0,2,48.0,,314.00,400.00,86,27.39,BATCH-001,Unilever - Atlantic Distribition,,,,
53,,,Pond Daily 100g,Personal Care,Facewash 100g,135,170.0,#REF!,160.0,2,38.4,,270.00,320.00,50,18.52,BATCH-001,Unilever - Atlantic Distribition,,,,
54,,,Ponds Light 50ml,Personal Care,Moisturizer 50ml,160,200.0,#REF!,190.0,3,68.4,,480.00,570.00,90,18.75,BATCH-001,Unilever - Atlantic Distribition,,,,
55,,,Ponds Superlight Gel 50ml,Personal Care,,160,200.0,#REF!,190.0,3,68.4,,480.00,570.00,90,18.75,BATCH-001,Unilever - Atlantic Distribition,,,,
56,,,Ponds Superlight Gel 100ml,Personal Care,,271.99,350.0,350.00 - 430.00,335.0,3,120.6,,815.97,1005.00,189,23.17,BATCH-001,Unilever - Atlantic Distribition,,,,
