id,title,matched_shwapno_name,score,status,image_link,source
INV-0286,Bashundhara Hand Towel White 150pcs,,,not_matched,https://luckystore.com/images/products/INV-0286.jpg,placeholder
INV-0287,Radhuni Gorur Masala 25gm,,,not_matched,https://luckystore.com/images/products/INV-0287.jpg,placeholder
INV-0288,Radhuni Fried Chicken Mix 75gm,,,not_matched,https://luckystore.com/images/products/INV-0288.jpg,placeholder
INV-0289,Radhuni Kabab Masala 50gm,,,not_matched,https://luckystore.com/images/products/INV-0289.jpg,placeholder
INV-0290,Nutrilife Can,,,not_matched,https://luckystore.com/images/products/INV-0290.jpg,placeholder
INV-0291,Tomato Ketchup Small,,,not_matched,https://luckystore.com/images/products/INV-0291.jpg,placeholder
INV-0292,Ponds Bright Beauty 50g,,,not_matched,https://luckystore.com/images/products/INV-0292.jpg,placeholder
INV-0293,Chupa Chups Best of Lollipops (6Pcs Bundle) - 72g,,,not_matched,https://luckystore.com/images/products/INV-0293.jpg,placeholder
INV-0294,Radhuni Gorom Masala Gura 15gm,,,not_matched,https://luckystore.com/images/products/INV-0294.jpg,placeholder
INV-0295,Mango Melody 1L,,,not_matched,https://luckystore.com/images/products/INV-0295.jpg,placeholder
INV-0296,Center Fresh Chewing Gum,,,not_matched,https://luckystore.com/images/products/INV-0296.jpg,placeholder
INV-0297,Dano Daily Pusti 50g,,,not_matched,https://luckystore.com/images/products/INV-0297.jpg,placeholder
INV-0298,Fortune Mustard Oil 80ml,,,not_matched,https://luckystore.com/images/products/INV-0298.jpg,placeholder
INV-0299,Nimki Small,,,not_matched,https://luckystore.com/images/products/INV-0299.jpg,placeholder
INV-0300,Radhuni Holud Gura 25gm,,,not_matched,https://luckystore.com/images/products/INV-0300.jpg,placeholder
INV-0301,Vanilla (1/2 L),,,not_matched,https://luckystore.com/images/products/INV-0301.jpg,placeholder
INV-0302,Radhuni Hasher Mangsho 33gm,,,not_matched,https://luckystore.com/images/products/INV-0302.jpg,placeholder
INV-0303,Bellame Chocolate Fondue Cookie 176g,,,not_matched,https://luckystore.com/images/products/INV-0303.jpg,placeholder
INV-0304,Nutrilife Mango Juice 1L,,,not_matched,https://luckystore.com/images/products/INV-0304.jpg,placeholder
INV-0305,Bashundhara Toilet Tissue (White),,,not_matched,https://luckystore.com/images/products/INV-0305.jpg,placeholder
INV-0306,Dry Cake (300g),,,not_matched,https://luckystore.com/images/products/INV-0306.jpg,placeholder
INV-0307,Strawberry (1/2 L),,,not_matched,https://luckystore.com/images/products/INV-0307.jpg,placeholder
INV-0308,Radhuni Holud Gura 100gm,Radhuni Turmeric (Holud) Powder 100gm,0.890,auto_approved,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95bc115075f231ecc96a_Radhuni-Turmeric-Holud-Powder-100gm_1_415.webp,shwapno_match_high
INV-0309,Nutrilife Orange Juice 1L,,,not_matched,https://luckystore.com/images/products/INV-0309.jpg,placeholder
INV-0310,ABC Cup Hot Gulai Chicken Flavour - 60g,,,not_matched,https://luckystore.com/images/products/INV-0310.jpg,placeholder
INV-0311,Radhuni Biriyani Masala 40gm,,,not_matched,https://luckystore.com/images/products/INV-0311.jpg,placeholder
INV-0312,Chocolate (1/2 L),,,not_matched,https://luckystore.com/images/products/INV-0312.jpg,placeholder
INV-0313,Radhuni Macher Masala 20gm,,,not_matched,https://luckystore.com/images/products/INV-0313.jpg,placeholder
INV-0314,Transtec Backup 15w Pin,,,not_matched,https://luckystore.com/images/products/INV-0314.jpg,placeholder
INV-0315,Dairy Milk Crispello 19gm,,,not_matched,https://luckystore.com/images/products/INV-0315.jpg,placeholder
INV-0316,Go & Handsome Skin Cream Men 25g,,,not_matched,https://luckystore.com/images/products/INV-0316.jpg,placeholder
INV-0317,Shell & Core,,,not_matched,https://luckystore.com/images/products/INV-0317.jpg,placeholder
INV-0318,Transtec Backup 15w Churi,,,not_matched,https://luckystore.com/images/products/INV-0318.jpg,placeholder
INV-0319,Dano Sterilized Cream - 160g,,,not_matched,https://luckystore.com/images/products/INV-0319.jpg,placeholder
INV-0320,Radhuni Tehari Masala 40gm,Radhuni Tehari Masala 40gm,1.000,auto_approved,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95f4115075f231eccc73_Radhuni-Tehari-Masala-40gm_1_415.webp,shwapno_match_high
INV-0321,Discone,,,not_matched,https://luckystore.com/images/products/INV-0321.jpg,placeholder
INV-0322,Avonee Pant Style Baby Diaper (9-14Kg) - L 48pcs,,,not_matched,https://luckystore.com/images/products/INV-0322.jpg,placeholder
INV-0323,Maxline ML-073 Multi Color Multiplug 3 Port with 3M Cable,,,not_matched,https://luckystore.com/images/products/INV-0323.jpg,placeholder
INV-0324,Doodles Stick Noodles Chicken Delight 300g,,,not_matched,https://luckystore.com/images/products/INV-0324.jpg,placeholder
INV-0325,Mentos,,,not_matched,https://luckystore.com/images/products/INV-0325.jpg,placeholder
INV-0326,Transtec LED Bright 18w Pin,,,not_matched,https://luckystore.com/images/products/INV-0326.jpg,placeholder
INV-0327,Mabroom Premium Dates - 500G,,,not_matched,https://luckystore.com/images/products/INV-0327.jpg,placeholder
INV-0328,Bellame Chocolate Digestive 135g,,,not_matched,https://luckystore.com/images/products/INV-0328.jpg,placeholder
INV-0329,Pound Cake Fruit,,,not_matched,https://luckystore.com/images/products/INV-0329.jpg,placeholder
INV-0330,Transtac LED Bright 18w Churi,,,not_matched,https://luckystore.com/images/products/INV-0330.jpg,placeholder
INV-0331,Nescafe Sunrise 3in1 10g,,,not_matched,https://luckystore.com/images/products/INV-0331.jpg,placeholder
INV-0332,Dairy Milk Hazelnut 54gm,,,not_matched,https://luckystore.com/images/products/INV-0332.jpg,placeholder
INV-0333,Radhuni Shorisha Oil 80ml,,,not_matched,https://luckystore.com/images/products/INV-0333.jpg,placeholder
INV-0334,Transtec Mosquito Bat,,,not_matched,https://luckystore.com/images/products/INV-0334.jpg,placeholder
INV-0335,Twinings Pure Green Tea 25 Bags - 50g,,,not_matched,https://luckystore.com/images/products/INV-0335.jpg,placeholder
INV-0336,Dairy Milk Roast Almond 52gm,,,not_matched,https://luckystore.com/images/products/INV-0336.jpg,placeholder
INV-0337,ACI Chinigura 50KG Loose,,,not_matched,https://luckystore.com/images/products/INV-0337.jpg,placeholder
INV-0338,Bashundhara Hand Towel 250 Poly,,,not_matched,https://luckystore.com/images/products/INV-0338.jpg,placeholder
INV-0339,Twinings Green Tea & Ginger 20 Bags - 40g,,,not_matched,https://luckystore.com/images/products/INV-0339.jpg,placeholder
INV-0340,Kellogs Almond Corn Flakes 300g,,,not_matched,https://luckystore.com/images/products/INV-0340.jpg,placeholder
INV-0341,Vanilla 1L,,,not_matched,https://luckystore.com/images/products/INV-0341.jpg,placeholder
INV-0342,Firni 1L,,,not_matched,https://luckystore.com/images/products/INV-0342.jpg,placeholder
INV-0343,Twinings Green Tea Jasmine - 25 Bags,,,not_matched,https://luckystore.com/images/products/INV-0343.jpg,placeholder
INV-0344,Kellogs Corn Flakes Real Honey 300g,,,not_matched,https://luckystore.com/images/products/INV-0344.jpg,placeholder
INV-0345,Strawberry 1L,,,not_matched,https://luckystore.com/images/products/INV-0345.jpg,placeholder
INV-0346,Doi 1L,,,not_matched,https://luckystore.com/images/products/INV-0346.jpg,placeholder
INV-0347,Twinings Green Tea & lemon - 25 Bags,,,not_matched,https://luckystore.com/images/products/INV-0347.jpg,placeholder
INV-0348,Garlic - roshun,,,not_matched,https://luckystore.com/images/products/INV-0348.jpg,placeholder
INV-0349,Chocolate 1L,,,not_matched,https://luckystore.com/images/products/INV-0349.jpg,placeholder
INV-0350,Basmati (Golden) Banglamoti Loose,,,not_matched,https://luckystore.com/images/products/INV-0350.jpg,placeholder
INV-0351,Twinings Green Tea Earl Grey 20 Bags - 40g,,,not_matched,https://luckystore.com/images/products/INV-0351.jpg,placeholder
INV-0352,Wheel Fabric Solutions Clean and Fresh 200g,,,not_matched,https://luckystore.com/images/products/INV-0352.jpg,placeholder
INV-0353,Safe Touch 0032 5Port 5m Cable Multiplug Heavy Duty White,,,not_matched,https://luckystore.com/images/products/INV-0353.jpg,placeholder
INV-0354,Transtec LED Bright 13w Churi,,,not_matched,https://luckystore.com/images/products/INV-0354.jpg,placeholder
INV-0355,Saf Instant Yeast - 100g,,,not_matched,https://luckystore.com/images/products/INV-0355.jpg,placeholder
INV-0356,Go & Handsome Facewash Men 50g,,,not_matched,https://luckystore.com/images/products/INV-0356.jpg,placeholder
INV-0357,Pulse - Mango Masala,,,not_matched,https://luckystore.com/images/products/INV-0357.jpg,placeholder
INV-0358,Samyang Hot Chicken Flavor Carbo Ramen Noodles Cup - 80g,,,not_matched,https://luckystore.com/images/products/INV-0358.jpg,placeholder
INV-0359,Nescafe Classic 90g Jar,,,not_matched,https://luckystore.com/images/products/INV-0359.jpg,placeholder
INV-0360,Rexona Men Advanced Invisible Dry Roll On - 45ml,,,not_matched,https://luckystore.com/images/products/INV-0360.jpg,placeholder
INV-0361,Marks Powder 500gm,,,not_matched,https://luckystore.com/images/products/INV-0361.jpg,placeholder
INV-0362,MI 9se 18W Quick Charger 3.0 With Power Adapter,,,not_matched,https://luckystore.com/images/products/INV-0362.jpg,placeholder
INV-0363,Aarong Liquid Milk 1ltr,,,not_matched,https://luckystore.com/images/products/INV-0363.jpg,placeholder
INV-0364,Paprika Powder - 15g,,,not_matched,https://luckystore.com/images/products/INV-0364.jpg,placeholder
INV-0365,Maggi Vegetable Soup 25g,Maggi Healthy Soup Vegetable 25gm,0.867,needs_review,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9614d61902ef23078c21_Maggi-Healthy-Soup-Vegetable-25gm_1_415.webp,shwapno_match_review
INV-0366,Awei Data Cable Micro USB (CL-115M),,,not_matched,https://luckystore.com/images/products/INV-0366.jpg,placeholder
INV-0367,Ispahani blenders choice premium green tea - 35g,,,not_matched,https://luckystore.com/images/products/INV-0367.jpg,placeholder
INV-0368,Safe Touch 0032 5Port 2m Cable Multiplug Heavy Duty White,,,not_matched,https://luckystore.com/images/products/INV-0368.jpg,placeholder
INV-0369,Maggi Thai Soup 35g,Maggi Healthy Soup Thai 35gm,0.896,auto_approved,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9615d61902ef23078c25_Maggi-Healthy-Soup-Thai-35gm_1_415.webp,shwapno_match_high
INV-0370,Dano Daily Pusti 100g,,,not_matched,https://luckystore.com/images/products/INV-0370.jpg,placeholder
INV-0371,Mars Fruit & Nut Chocolate - 32g,,,not_matched,https://luckystore.com/images/products/INV-0371.jpg,placeholder
INV-0372,Maggi Corn Soup 25g,Maggi Healthy Soup Corn With Chicken 25gm,0.751,needs_review,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9610d61902ef23078bed_Maggi-Healthy-Soup-Corn-With-Chicken-25gm_1_415.webp,shwapno_match_review
INV-0373,Radhuni Chotpoti Masala 50gm,,,not_matched,https://luckystore.com/images/products/INV-0373.jpg,placeholder
INV-0374,Snickers Fruit & Nut Chocolate - 32g,,,not_matched,https://luckystore.com/images/products/INV-0374.jpg,placeholder
INV-0375,Marks Powder 250gm,,,not_matched,https://luckystore.com/images/products/INV-0375.jpg,placeholder
INV-0376,Dairy Milk Fuse 21gm,,,not_matched,https://luckystore.com/images/products/INV-0376.jpg,placeholder
