Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Use production,Supplier,Purchase cost,Available for sale [Lucky Store],Price [Lucky Store],In stock [Lucky Store],Low stock [Lucky Store],Optimal stock [Lucky Store]
doodles-instant-noodles-ramen-62g-8-pack,SNA-DOOD-INST-62G-4,Doodles Instant Noodles Ramen 62g (8 Pack),Snacks,,N,,,,,,,182.00,,,,Y,,,0.00,Y,210.00,6.000,5.000,
doodles-stick-noodles-150g,SNA-DOOD-STIC-150G,Doodles Stick Noodles 150g,Snacks,,N,,,,,,,17.25,,,,Y,,,0.00,Y,20.00,6.000,5.000,
doodles-stick-noodles-chicken-delight-300g,SNA-DOOD-STIC-300G,Doodles Stick Noodles Chicken Delight 300g,Snacks,,N,,,,,,,43.00,,,,Y,,,0.00,Y,50.00,6.000,5.000,
dove-conditioner-hairfall-rescue-170ml,PER-DOVE-COND-170ML,Dove Conditioner Hairfall Rescue 170ml,Personal Care,Conditioner 170ml,N,,,,,,,232.00,,,,Y,,,0.00,Y,265.00,2.000,5.000,
dove-conditioner-intensive-repair-50ml,PER-DOVE-COND-50ML,Dove Conditioner Intensive Repair 50ml,Personal Care,Conditoner 50ml,N,,,,,,,24.00,,,,Y,,,0.00,Y,30.00,2.000,5.000,
dove-conditioner-intensive-repair-7ml,PER-DOVE-COND-7ML,Dove Conditioner Intensive Repair 7ml,Personal Care,Conditioner 7ml,N,,,,,,,4.29,,,,Y,,,0.00,Y,5.00,36.000,5.000,
dove-cream-bar-135g,PER-DOVE-CREA-135G,Dove Cream Bar 135g,Personal Care,Soap 135g,N,,,,,,,129.98,,,,Y,,,0.00,Y,150.00,6.000,5.000,
dove-cream-bar-50g,PER-DOVE-CREA-50G,Dove Cream Bar 50g,Personal Care,Soap 25g,N,,,,,,,57.00,,,,Y,,,0.00,Y,65.00,6.000,5.000,
dove-cream-bar-90g,PER-DOVE-CREA-90G,Dove Cream Bar 90g,Personal Care,Soap 90g,N,,,,,,,99.01,,,,Y,,,0.00,Y,115.00,6.000,5.000,
dove-cream-pink-bar-135g,PER-DOVE-CREA-135G-1,Dove Cream Pink Bar 135g,Personal Care,Soap 135g,N,,,,,,,129.98,,,,Y,,,0.00,Y,150.00,6.000,5.000,
dove-cream-pink-bar-90g,PER-DOVE-CREA-90G-1,Dove Cream Pink Bar 90g,Personal Care,Soap 25g,N,,,,,,,99.01,,,,Y,,,0.00,Y,115.00,6.000,5.000,
dove-shampoo-hairfall-rescue-170ml,PER-DOVE-SHAM-170ML,Dove Shampoo Hairfall Rescue 170ml,Personal Care,Shampoo 170ml,N,,,,,,,171.20,,,,Y,,,0.00,Y,200.00,2.000,5.000,
dove-shampoo-hairfall-rescue-6ml,PER-DOVE-SHAM-6ML-1,Dove Shampoo Hairfall Rescue 6ml,Personal Care,Shampoo 6ml,N,,,,,,,3.43,,,,Y,,,0.00,Y,5.00,36.000,5.000,
dove-shampoo-intensive-repair-170ml,PER-DOVE-SHAM-170ML-1,Dove Shampoo Intensive Repair 170ml,Personal Care,Shampoo 170ml,N,,,,,,,171.20,,,,Y,,,0.00,Y,200.00,2.000,5.000,
dove-shampoo-intensive-repair-330ml,PER-DOVE-SHAM-330ML,Dove Shampoo Intensive Repair 330ml,Personal Care,Shampoo 330ml,N,,,,,,,376.33,,,,Y,,,0.00,Y,435.00,2.000,5.000,
dove-shampoo-intensive-repair-330ml-1,PER-DOVE-SHAM-330ML-2,Dove Shampoo Intensive Repair 330ml,Personal Care,Shampoo 330ml,N,,,,,,,376.33,,,,Y,,,0.00,Y,435.00,2.000,5.000,
dove-shampoo-intensive-repair-6ml,PER-DOVE-SHAM-6ML,Dove Shampoo Intensive Repair 6ml,Personal Care,Shampoo 6ml,N,,,,,,,3.43,,,,Y,,,0.00,Y,5.00,36.000,5.000,
dove-shampoo-nourishing-oil-170ml,PER-DOVE-SHAM-170ML-2,Dove Shampoo Nourishing Oil 170ml,Personal Care,Oil 170ml,N,,,,,,,171.20,,,,Y,,,0.00,Y,200.00,2.000,5.000,
dove-shampoo-oxygen-moisture-330ml,PER-DOVE-SHAM-330ML-1,Dove Shampoo Oxygen Moisture 330ml,Personal Care,Shampoo 330ml,N,,,,,,,376.33,,,,Y,,,0.00,Y,435.00,2.000,5.000,
dry-cake,BIS-DRYX-CAKE,Dry Cake,Biscuits & Cookies,,N,,,,,,,126.00,,,,Y,,,0.00,Y,130.00,6.000,5.000,
