Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Use production,Supplier,Purchase cost,Available for sale [Lucky Store],Price [Lucky Store],In stock [Lucky Store],Low stock [Lucky Store],Optimal stock [Lucky Store]
sunsilk-shampoo-hair-fall-solution,PER-SUNS-SHAM,Sunsilk Shampoo Hair Fall Solution,Personal Care,Shampoo 5.25ml,N,,,,,,,2.58,,,,Y,,,0.00,Y,4.00,36.000,5.000,
sunsilk-shampoo-onion-375ml,PER-SUNS-SHAM-375ML,Sunsilk Shampoo Onion 375ml,Personal Care,Shampoo 375ml,N,,,,,,,364.27,,,,Y,,,0.00,Y,418.90,2.000,5.000,
sunsilk-shampoo-thick-long-170ml,PER-SUNS-SHAM-170ML,Sunsilk Shampoo Thick & Long 170ml,Personal Care,Shampoo 170ml,N,,,,,,,158.14,,,,Y,,,0.00,Y,185.00,3.000,5.000,
sunsilk-shampoo-thick-long-340ml,PER-SUNS-SHAM-340ML,Sunsilk Shampoo Thick & Long 340ml,Personal Care,Shampoo 340ml,N,,,,,,,307.13,,,,Y,,,0.00,Y,355.00,2.000,5.000,
sunsilk-shampoo-thick-long-5-25,PER-SUNS-SHAM-1,Sunsilk Shampoo Thick & Long 5.25,Personal Care,Shampoo 5.25ml,N,,,,,,,2.58,,,,Y,,,0.00,Y,4.00,36.000,5.000,
sunsilk-shampoo-volume-375ml,PER-SUNS-SHAM-375ML-1,Sunsilk Shampoo Volume 375ml,Personal Care,Shampoo 375ml,N,,,,,,,364.24,,,,Y,,,0.00,Y,420.00,2.000,5.000,
surf-excel-1000g,CLE-SURF-EXCE-1000G,Surf Excel 1000g,Cleaning Supply,Laundry Powder 1000g,N,,,,,,,211.00,,,,Y,,,0.00,Y,240.00,30.000,5.000,
surf-excel-180g,CLE-SURF-EXCE-180G,Surf Excel 180g,Cleaning Supply,Laundry Powder 180g,N,,,,,,,45.00,,,,Y,,,0.00,Y,50.00,12.000,5.000,
surf-excel-500g,CLE-SURF-EXCE-500G,Surf Excel 500g,Cleaning Supply,Laundry Powder 500g,N,,,,,,,108.11,,,,Y,,,0.00,Y,125.00,60.000,5.000,
surf-excel-fabric-solution-quick-wash-18g,CLE-SURF-EXCE-18G,Surf Excel Fabric Solution Quick Wash 18g,Cleaning Supply,Laundry Soap 18g,N,,,,,,,4.50,,,,Y,,,0.00,Y,5.00,36.000,5.000,
surf-excel-matic-liquid-top-1l,CLE-SURF-EXCE-1L,Surf Excel Matic Liquid Top 1L,Cleaning Supply,Laundry Liquid 1L,N,,,,,,,333.33,,,,Y,,,0.00,Y,380.00,12.000,5.000,
surf-excel-matic-liquid-top-500ml,CLE-SURF-EXCE-500ML,Surf Excel Matic Liquid Top 500ml,Cleaning Supply,Laundry Liquid 500ml,N,,,,,,,175.00,,,,Y,,,0.00,Y,200.00,12.000,5.000,
taaqa-juice,BEV-TAAQ-JUIC,Taaqa Juice,Beverages,,N,,,,,,,24.00,,,,Y,,,0.00,Y,30.00,60.000,5.000,
taaza-100g,TEA-TAAZ-GXXX-100G,Taaza 100g,Tea & Coffee,,N,,,,,,,52.86,,,,Y,,,0.00,Y,60.80,24.000,5.000,
taaza-400g,TEA-TAAZ-GXXX-400G,Taaza 400g,Tea & Coffee,,N,,,,,,,220.26,,,,Y,,,0.00,Y,250.00,12.000,5.000,
taaza-500g,TEA-TAAZ-GXXX-500G,Taaza 500g,Tea & Coffee,,N,,,,,,,264.32,,,,Y,,,0.00,Y,300.00,12.000,5.000,
taaza-500g-3-star,TEA-TAAZ-GXXX-500G-1,Taaza 500g 3 star,Tea & Coffee,,N,,,,,,,220.26,,,,Y,,,0.00,Y,250.00,12.000,5.000,
taaza-50g,TEA-TAAZ-GXXX-50G,Taaza 50g,Tea & Coffee,,N,,,,,,,25.75,,,,Y,,,0.00,Y,29.70,48.000,5.000,
taaza-tea-bag,TEA-TAAZ-TEAX,Taaza Tea Bag,Tea & Coffee,,N,,,,,,,86.37,,,,Y,,,0.00,Y,95.00,6.000,5.000,
tastemaker-tasting-salt,COO-TAST-TAST,Tastemaker - Tasting Salt,Cooking Needs,,N,,,,,,,42.00,,,,Y,,,0.00,Y,50.00,12.000,5.000,
tip-family-pack,BIS-TIPX-FAMI,Tip - Family Pack,Biscuits & Cookies,,N,,,,,,,50.00,,,,Y,,,0.00,Y,60.00,8.000,5.000,
tip-standard-pack,BIS-TIPX-STAN,Tip -Standard Pack,Biscuits & Cookies,,N,,,,,,,13.00,,,,Y,,,0.00,Y,15.00,24.000,5.000,
toffeeto-chocolate,CHO-TOFF-CHOC,Toffeeto Chocolate,Chocolates & Candies,1 Jar,N,,,,,,,393.00,,,,Y,,,0.00,Y,450.00,1.000,5.000,
tomato-ketchup-small,CON-TOMA-KETC,Tomato Ketchup Small,Condiments,,N,,,,,,,76.00,,,,Y,,,0.00,Y,100.00,2.000,5.000,
tresemme-keratin-190ml,PER-TRES-KERA-190ML,Tresemme Keratin 190ml,Personal Care,Conditioner 190ml,N,,,,,,,256.00,,,,Y,,,0.00,Y,300.00,1.000,5.000,
tresemme-shampoo-color-revitalized-580ml,PER-TRES-SHAM-580ML,Tresemme Shampoo Color Revitalized 580ml,Personal Care,Shampoo 580ml,N,,,,,,,602.50,,,,Y,,,0.00,Y,700.00,1.000,5.000,
tresemme-shampoo-keratin-smooth-185ml,PER-TRES-SHAM-185ML,Tresemme Shampoo Keratin Smooth 185ml,Personal Care,Shampoo 185ml,N,,,,,,,298.58,,,,Y,,,0.00,Y,345.00,1.000,5.000,
tresemme-shampoo-keratin-smooth-340ml,PER-TRES-SHAM-340ML,Tresemme Shampoo Keratin Smooth 340ml,Personal Care,Shampoo 340ml,N,,,,,,,458.10,,,,Y,,,0.00,Y,525.00,1.000,5.000,
vim-dish-washing-bar-125g,CLE-VIMX-DISH-125G,Vim Dish Washing Bar 125g,Cleaning Supply,Dishwashing Bar 125g,N,,,,,,,13.50,,,,Y,,,0.00,Y,16.00,90.000,5.000,
vim-dish-washing-bar-300g,CLE-VIMX-DISH-300G,Vim Dish Washing Bar 300g,Cleaning Supply,Dishwashing Bar 300g,N,,,,,,,35.95,,,,Y,,,0.00,Y,40.00,72.000,5.000,
vim-dish-washing-liquid-1l,CLE-VIMX-DISH-1L,Vim Dish Washing Liquid 1L,Cleaning Supply,Dishwashing Liquid 1L,N,,,,,,,207.83,,,,Y,,,0.00,Y,240.00,6.000,5.000,
vim-dish-washing-liquid-200ml,CLE-VIMX-DISH-200ML,Vim Dish Washing Liquid 200ml,Cleaning Supply,Dishwashing Liquid 200ml,N,,,,,,,44.23,,,,Y,,,0.00,Y,50.00,36.000,5.000,
vim-dish-washing-liquid-475ml,CLE-VIMX-DISH-475ML,Vim Dish Washing Liquid 475ml,Cleaning Supply,Dishwashing Liquid 475ml,N,,,,,,,115.00,,,,Y,,,0.00,Y,135.00,24.000,5.000,
vim-dish-washing-powder-500g,CLE-VIMX-DISH-500G,Vim Dish Washing Powder 500g,Cleaning Supply,Dishwashing Powder 500g,N,,,,,,,45.00,,,,Y,,,0.00,Y,55.00,12.000,5.000,
volt-pencil-battery-um-3,ELE-VOLT-PENC,Volt Pencil Battery UM-3,Electronics,,N,,,,,,,14.00,,,,Y,,,0.00,Y,20.00,60.000,5.000,
volt-pencil-battery-um-4,ELE-VOLT-PENC-1,Volt Pencil Battery UM-4,Electronics,,N,,,,,,,24.00,,,,Y,,,0.00,Y,30.00,25.000,5.000,
wheel-fabric-solutions-clean-and-fresh-200g,CLE-WHEE-FABR-200G,Wheel Fabric Solutions Clean and Fresh 200g,Cleaning Supply,Laundry Soap 200g,N,,,,,,,27.55,,,,Y,,,0.00,Y,30.00,72.000,5.000,
wheel-fabric-solutions-laundry-soap-125g,CLE-WHEE-FABR-125G,Wheel Fabric Solutions Laundry Soap 125g,Cleaning Supply,rice,N,,,,,,,26.55,,,,Y,,,0.00,Y,30.00,106.000,5.000,
